# theta0 tp xi source_id nsteps_pt nsteps_noPT
0.2618 1.0000000000e-03 1.0000021810e+00 0 3282 3283
0.2618 1.8738174229e-03 1.0000084412e+00 0 3281 3283
0.2618 3.5111917342e-03 1.0000253184e+00 0 3280 3283
0.2618 6.5793322466e-03 1.0000801341e+00 0 3279 3283
0.2618 1.2328467394e-02 1.0002800260e+00 0 3278 3283
0.2618 2.3101297001e-02 1.0009692565e+00 0 3275 3283
0.2618 4.3287612811e-02 1.0032981227e+00 0 3273 3283
0.2618 8.1113083079e-02 1.0110666046e+00 0 3270 3283
0.2618 1.5199110830e-01 1.0363852425e+00 0 3267 3283
0.2618 2.8480358684e-01 1.1164826562e+00 0 3264 3283
0.2618 5.3366992312e-01 1.3601700123e+00 0 3262 3283
0.2618 1.0000000000e+00 2.0681565546e+00 0 3260 3283
0.2618 1.0232562506e+00 2.1105453598e+00 1 3261 3275
0.2618 1.0701593286e+00 2.1979649055e+00 1 3261 3275
0.2618 1.1192123067e+00 2.2919735555e+00 1 3261 3275
0.2618 1.1705137300e+00 2.3930452638e+00 1 3261 3275
0.2618 1.2241666608e+00 2.5016867184e+00 1 3261 3275
0.2618 1.2802788852e+00 2.6184396135e+00 1 3261 3275
0.2618 1.3389631300e+00 2.7438829872e+00 1 3261 3275
0.2618 1.4003372893e+00 2.8786388389e+00 1 3260 3275
0.2618 1.4645246608e+00 3.0233628460e+00 1 3260 3275
0.2618 1.5316541939e+00 3.1787648840e+00 1 3260 3275
0.2618 1.6018607488e+00 3.3456006529e+00 1 3260 3275
0.2618 1.6752853671e+00 3.5246778392e+00 1 3260 3275
0.2618 1.7520755554e+00 3.7168597659e+00 1 3260 3275
0.2618 1.8323855817e+00 3.9230688771e+00 1 3260 3275
0.2618 1.9163767851e+00 4.1442911813e+00 1 3260 3275
0.2618 2.0042178999e+00 4.3815805038e+00 1 3260 3275
0.2618 2.0960853948e+00 4.6360631666e+00 1 3260 3275
0.2618 2.1921638274e+00 4.9089429983e+00 1 3260 3275
0.2618 2.2926462148e+00 5.2015066964e+00 1 3260 3275
0.2618 2.3977344213e+00 5.5151295664e+00 1 3260 3275
0.2618 2.5076395643e+00 5.8512816664e+00 1 3260 3275
0.2618 2.6225824381e+00 6.2115343850e+00 1 3260 3275
0.2618 2.7427939574e+00 6.5975674849e+00 1 3260 3275
0.2618 2.8685156218e+00 7.0111766470e+00 1 3260 3275
0.2618 3.0000000000e+00 7.4542815502e+00 1 3260 3275
0.2618 3.2183731270e+00 8.2132992047e+00 1 3260 3275
0.2618 3.4526418615e+00 9.0585260609e+00 1 3260 3275
0.2618 3.7039632614e+00 9.9995413232e+00 1 3260 3275
0.2618 3.9735786079e+00 1.1046985650e+01 1 3260 3275
0.2618 4.2628195366e+00 1.2212679850e+01 1 3260 3275
0.2618 4.5731146139e+00 1.3509756114e+01 1 3260 3275
0.2618 4.9059963933e+00 1.4952802481e+01 1 3260 3275
0.2618 5.2631089844e+00 1.6558021642e+01 1 3260 3275
0.2618 5.6462161733e+00 1.8343406467e+01 1 3260 3275
0.2618 6.0572101337e+00 2.0328937150e+01 1 3260 3275
0.2618 6.4981207730e+00 2.2536807071e+01 1 3260 3275
0.2618 6.9711257572e+00 2.4991683030e+01 1 3260 3275
0.2618 7.4785612673e+00 2.7720996337e+01 1 3260 3275
0.2618 8.0229335370e+00 3.0755248372e+01 1 3260 3275
0.2618 8.6069312317e+00 3.4128318130e+01 1 3260 3275
0.2618 9.2334387273e+00 3.7877802379e+01 1 3260 3275
0.2618 9.9055503565e+00 4.2045464376e+01 1 3260 3275
0.2618 1.0626585692e+01 4.6677789771e+01 1 3260 3275
0.2618 1.1400105941e+01 5.1826453940e+01 1 3260 3275
0.2618 1.2229931535e+01 5.7548645909e+01 1 3260 3275
0.2618 1.3120160999e+01 6.3907852021e+01 1 3260 3275
0.2618 1.4075191193e+01 7.0975256831e+01 1 3260 3275
0.2618 1.5099739031e+01 7.8829945224e+01 1 3260 3275
0.2618 1.6198864774e+01 8.7558427828e+01 1 3260 3275
0.2618 1.7377997026e+01 9.7257760082e+01 1 3260 3275
0.2618 1.8642959543e+01 1.0803694419e+02 1 3260 3275
0.2618 2.0000000000e+01 1.2001509295e+02 1 3260 3275
0.2618 2.2684969009e+01 1.4492222316e+02 1 3260 3275
0.2618 2.5730390946e+01 1.7501380998e+02 1 3260 3275
0.2618 2.9184656059e+01 2.1136659058e+02 1 3260 3275
0.2618 3.3102650911e+01 2.5528258213e+02 1 3260 3275
0.2618 3.7546630501e+01 3.0833576735e+02 1 3260 3275
0.2618 4.2587207465e+01 3.7242401571e+02 1 3260 3275
0.2618 4.8304474075e+01 4.4984235300e+02 1 3260 3275
0.2618 5.4789274868e+01 5.4336805749e+02 1 3260 3275
0.2618 6.2144650119e+01 6.5634435556e+02 1 3260 3275
0.2618 7.0487473100e+01 7.9281751839e+02 1 3260 3275
0.2618 7.9950307138e+01 9.5767400264e+02 1 3260 3275
0.2618 9.0683511982e+01 1.1568168050e+03 1 3260 3275
0.7854 1.0000000000e-03 1.0000013384e+00 0 3960 3961
0.7854 1.8738174229e-03 1.0000037222e+00 0 3959 3961
0.7854 3.5111917342e-03 1.0000192779e+00 0 3958 3961
0.7854 6.5793322466e-03 1.0000737049e+00 0 3956 3961
0.7854 1.2328467394e-02 1.0002630831e+00 0 3955 3961
0.7854 2.3101297001e-02 1.0009161039e+00 0 3952 3961
0.7854 4.3287612811e-02 1.0031226253e+00 0 3949 3961
0.7854 8.1113083079e-02 1.0104559853e+00 0 3946 3961
0.7854 1.5199110830e-01 1.0342757954e+00 0 3943 3961
0.7854 2.8480358684e-01 1.1092813058e+00 0 3940 3961
0.7854 5.3366992312e-01 1.3363297888e+00 0 3938 3961
0.7854 1.0000000000e+00 1.9932661677e+00 0 3937 3961
0.7854 1.0232562506e+00 2.0325732299e+00 1 3937 3953
0.7854 1.0701593286e+00 2.1135799465e+00 1 3937 3953
0.7854 1.1192123067e+00 2.2006805899e+00 1 3937 3953
0.7854 1.1705137300e+00 2.2943138641e+00 1 3937 3953
0.7854 1.2241666608e+00 2.3949488918e+00 1 3937 3953
0.7854 1.2802788852e+00 2.5030872952e+00 1 3937 3953
0.7854 1.3389631300e+00 2.6192654578e+00 1 3937 3953
0.7854 1.4003372893e+00 2.7440567211e+00 1 3937 3953
0.7854 1.4645246608e+00 2.8780741033e+00 1 3937 3953
0.7854 1.5316541939e+00 3.0219729479e+00 1 3937 3953
0.7854 1.6018607488e+00 3.1764538229e+00 1 3937 3953
0.7854 1.6752853671e+00 3.3422656217e+00 1 3937 3953
0.7854 1.7520755554e+00 3.5202088809e+00 1 3937 3953
0.7854 1.8323855817e+00 3.7111393281e+00 1 3937 3953
0.7854 1.9163767851e+00 3.9159716789e+00 1 3937 3953
0.7854 2.0042178999e+00 4.1356836982e+00 1 3937 3953
0.7854 2.0960853948e+00 4.3713205461e+00 1 3937 3953
0.7854 2.1921638274e+00 4.6239994287e+00 1 3937 3953
0.7854 2.2926462148e+00 4.8949145745e+00 1 3937 3953
0.7854 2.3977344213e+00 5.1853425617e+00 1 3937 3953
0.7854 2.5076395643e+00 5.4966480211e+00 1 3937 3953
0.7854 2.6225824381e+00 5.8302897419e+00 1 3937 3953
0.7854 2.7427939574e+00 6.1878272110e+00 1 3937 3953
0.7854 2.8685156218e+00 6.5709276178e+00 1 3937 3953
0.7854 3.0000000000e+00 6.9813733577e+00 1 3937 3953
0.7854 3.2183731270e+00 7.6845059656e+00 1 3937 3953
0.7854 3.4526418615e+00 8.4675825791e+00 1 3937 3953
0.7854 3.7039632614e+00 9.3394983291e+00 1 3937 3953
0.7854 3.9735786079e+00 1.0310133831e+01 1 3937 3953
0.7854 4.2628195366e+00 1.1390464569e+01 1 3937 3953
0.7854 4.5731146139e+00 1.2592681369e+01 1 3937 3953
0.7854 4.9059963933e+00 1.3930322879e+01 1 3937 3953
0.7854 5.2631089844e+00 1.5418422018e+01 1 3937 3953
0.7854 5.6462161733e+00 1.7073670326e+01 1 3937 3953
0.7854 6.0572101337e+00 1.8914606186e+01 1 3937 3953
0.7854 6.4981207730e+00 2.0961832100e+01 1 3937 3953
0.7854 6.9711257572e+00 2.3238259212e+01 1 3937 3953
0.7854 7.4785612673e+00 2.5769365811e+01 1 3937 3953
0.7854 8.0229335370e+00 2.8583455772e+01 1 3937 3953
0.7854 8.6069312317e+00 3.1711934263e+01 1 3937 3953
0.7854 9.2334387273e+00 3.5189663545e+01 1 3937 3953
0.7854 9.9055503565e+00 3.9055425864e+01 1 3937 3953
0.7854 1.0626585692e+01 4.3352363272e+01 1 3937 3953
0.7854 1.1400105941e+01 4.8128287035e+01 1 3937 3953
0.7854 1.2229931535e+01 5.3436231534e+01 1 3937 3953
0.7854 1.3120160999e+01 5.9335539241e+01 1 3937 3953
0.7854 1.4075191193e+01 6.5892248218e+01 1 3937 3953
0.7854 1.5099739031e+01 7.3178654021e+01 1 3937 3953
0.7854 1.6198864774e+01 8.1275612826e+01 1 3937 3953
0.7854 1.7377997026e+01 9.0274395561e+01 1 3937 3953
0.7854 1.8642959543e+01 1.0027424293e+02 1 3937 3953
0.7854 2.0000000000e+01 1.1138630915e+02 1 3937 3953
0.7854 2.2684969009e+01 1.3449338559e+02 1 3937 3953
0.7854 2.5730390946e+01 1.6240821669e+02 1 3937 3953
0.7854 2.9184656059e+01 1.9613133759e+02 1 3937 3953
0.7854 3.3102650911e+01 2.3686917161e+02 1 3937 3953
0.7854 3.7546630501e+01 2.8607950964e+02 1 3937 3953
0.7854 4.2587207465e+01 3.4552369977e+02 1 3937 3953
0.7854 4.8304474075e+01 4.1733023169e+02 1 3937 3953
0.7854 5.4789274868e+01 5.0406649507e+02 1 3937 3953
0.7854 6.2144650119e+01 6.0883433902e+02 1 3937 3953
0.7854 7.0487473100e+01 7.3537987573e+02 1 3937 3953
0.7854 7.9950307138e+01 8.8822683088e+02 1 3937 3953
0.7854 9.0683511982e+01 1.0728376880e+03 1 3937 3953
1.309 1.0000000000e-03 1.0000021444e+00 0 4991 4992
1.309 1.8738174229e-03 1.0000066128e+00 0 4990 4992
1.309 3.5111917342e-03 1.0000179293e+00 0 4989 4992
1.309 6.5793322466e-03 1.0000688351e+00 0 4987 4992
1.309 1.2328467394e-02 1.0002381183e+00 0 4985 4992
1.309 2.3101297001e-02 1.0008220592e+00 0 4982 4992
1.309 4.3287612811e-02 1.0027894881e+00 0 4979 4992
1.309 8.1113083079e-02 1.0092971032e+00 0 4976 4992
1.309 1.5199110830e-01 1.0302923734e+00 0 4973 4992
1.309 2.8480358684e-01 1.0958223469e+00 0 4970 4992
1.309 5.3366992312e-01 1.2921954948e+00 0 4968 4992
1.309 1.0000000000e+00 1.8552559141e+00 0 4968 4992
1.309 1.0232562506e+00 1.8888822096e+00 1 4968 4984
1.309 1.0701593286e+00 1.9580808206e+00 1 4968 4984
1.309 1.1192123067e+00 2.0324567891e+00 1 4968 4984
1.309 1.1705137300e+00 2.1123826325e+00 1 4968 4984
1.309 1.2241666608e+00 2.1982568564e+00 1 4968 4984
1.309 1.2802788852e+00 2.2905057514e+00 1 4968 4984
1.309 1.3389631300e+00 2.3895852967e+00 1 4968 4984
1.309 1.4003372893e+00 2.4959832019e+00 1 4968 4984
1.309 1.4645246608e+00 2.6102210906e+00 1 4968 4984
1.309 1.5316541939e+00 2.7328568342e+00 1 4968 4984
1.309 1.6018607488e+00 2.8644870470e+00 1 4968 4984
1.309 1.6752853671e+00 3.0057497536e+00 1 4968 4984
1.309 1.7520755554e+00 3.1573272410e+00 1 4968 4984
1.309 1.8323855817e+00 3.3199491077e+00 1 4968 4984
1.309 1.9163767851e+00 3.4943955243e+00 1 4968 4984
1.309 2.0042178999e+00 3.6815007211e+00 1 4968 4984
1.309 2.0960853948e+00 3.8821567176e+00 1 4968 4984
1.309 2.1921638274e+00 4.0973173128e+00 1 4968 4984
1.309 2.2926462148e+00 4.3280023543e+00 1 4968 4984
1.309 2.3977344213e+00 4.5753023073e+00 1 4968 4984
1.309 2.5076395643e+00 4.8403831452e+00 1 4968 4984
1.309 2.6225824381e+00 5.1244915847e+00 1 4968 4984
1.309 2.7427939574e+00 5.4289606906e+00 1 4968 4984
1.309 2.8685156218e+00 5.7552158760e+00 1 4968 4984
1.309 3.0000000000e+00 6.1047813225e+00 1 4968 4984
1.309 3.2183731270e+00 6.7036790268e+00 1 4968 4984
1.309 3.4526418615e+00 7.3707610838e+00 1 4968 4984
1.309 3.7039632614e+00 8.1136365861e+00 1 4968 4984
1.309 3.9735786079e+00 8.9407567730e+00 1 4968 4984
1.309 4.2628195366e+00 9.8615067974e+00 1 4968 4984
1.309 4.5731146139e+00 1.0886307036e+01 1 4968 4984
1.309 4.9059963933e+00 1.2026726203e+01 1 4968 4984
1.309 5.2631089844e+00 1.3295610000e+01 1 4968 4984
1.309 5.6462161733e+00 1.4707229520e+01 1 4968 4984
1.309 6.0572101337e+00 1.6277450674e+01 1 4968 4984
1.309 6.4981207730e+00 1.8023918467e+01 1 4968 4984
1.309 6.9711257572e+00 1.9966243782e+01 1 4968 4984
1.309 7.4785612673e+00 2.2126190467e+01 1 4968 4984
1.309 8.0229335370e+00 2.4527894006e+01 1 4968 4984
1.309 8.6069312317e+00 2.7198161132e+01 1 4968 4984
1.309 9.2334387273e+00 3.0166829538e+01 1 4968 4984
1.309 9.9055503565e+00 3.3467066537e+01 1 4968 4984
1.309 1.0626585692e+01 3.7135632772e+01 1 4968 4984
1.309 1.1400105941e+01 4.1213427411e+01 1 4968 4984
1.309 1.2229931535e+01 4.5746122722e+01 1 4968 4984
1.309 1.3120160999e+01 5.0784086350e+01 1 4968 4984
1.309 1.4075191193e+01 5.6382913957e+01 1 4968 4984
1.309 1.5099739031e+01 6.2605603519e+01 1 4968 4984
1.309 1.6198864774e+01 6.9521558393e+01 1 4968 4984
1.309 1.7377997026e+01 7.7206617833e+01 1 4968 4984
1.309 1.8642959543e+01 8.5747343674e+01 1 4968 4984
1.309 2.0000000000e+01 9.5238301013e+01 1 4968 4984
1.309 2.2684969009e+01 1.1497455811e+02 1 4968 4984
1.309 2.5730390946e+01 1.3881708942e+02 1 4968 4984
1.309 2.9184656059e+01 1.6762014151e+02 1 4968 4984
1.309 3.3102650911e+01 2.0241483951e+02 1 4968 4984
1.309 3.7546630501e+01 2.4444433951e+02 1 4968 4984
1.309 4.2587207465e+01 2.9521004787e+02 1 4968 4984
1.309 4.8304474075e+01 3.5652635109e+02 1 4968 4984
1.309 5.4789274868e+01 4.3058421566e+02 1 4968 4984
1.309 6.2144650119e+01 5.2002789582e+02 1 4968 4984
1.309 7.0487473100e+01 6.2804862193e+02 1 4968 4984
1.309 7.9950307138e+01 7.5849801187e+02 1 4968 4984
1.309 9.0683511982e+01 9.1602449766e+02 1 4968 4984
1.833 1.0000000000e-03 1.0000019959e+00 0 6755 6756
1.833 1.8738174229e-03 1.0000054379e+00 0 6754 6756
1.833 3.5111917342e-03 1.0000151640e+00 0 6753 6756
1.833 6.5793322466e-03 1.0000573588e+00 0 6751 6756
1.833 1.2328467394e-02 1.0001986346e+00 0 6749 6756
1.833 2.3101297001e-02 1.0006843858e+00 0 6746 6756
1.833 4.3287612811e-02 1.0023145483e+00 0 6743 6756
1.833 8.1113083079e-02 1.0076758019e+00 0 6740 6756
1.833 1.5199110830e-01 1.0248148538e+00 0 6737 6756
1.833 2.8480358684e-01 1.0776662337e+00 0 6734 6756
1.833 5.3366992312e-01 1.2337065302e+00 0 6733 6756
1.833 1.0000000000e+00 1.6743297658e+00 0 6733 6756
1.833 1.0232562506e+00 1.7005426160e+00 1 6733 6748
1.833 1.0701593286e+00 1.7543376624e+00 1 6733 6748
1.833 1.1192123067e+00 1.8121084397e+00 1 6733 6748
1.833 1.1705137300e+00 1.8741391249e+00 1 6733 6748
1.833 1.2241666608e+00 1.9407338014e+00 1 6733 6748
1.833 1.2802788852e+00 2.0122178474e+00 1 6733 6748
1.833 1.3389631300e+00 2.0889394217e+00 1 6733 6748
1.833 1.4003372893e+00 2.1712710523e+00 1 6733 6748
1.833 1.4645246608e+00 2.2596113358e+00 1 6733 6748
1.833 1.5316541939e+00 2.3543867542e+00 1 6733 6748
1.833 1.6018607488e+00 2.4560536191e+00 1 6733 6748
1.833 1.6752853671e+00 2.5651001494e+00 1 6733 6748
1.833 1.7520755554e+00 2.6820486938e+00 1 6733 6748
1.833 1.8323855817e+00 2.8074581081e+00 1 6733 6748
1.833 1.9163767851e+00 2.9419262965e+00 1 6733 6748
1.833 2.0042178999e+00 3.0860929304e+00 1 6733 6748
1.833 2.0960853948e+00 3.2406423556e+00 1 6733 6748
1.833 2.1921638274e+00 3.4063067026e+00 1 6733 6748
1.833 2.2926462148e+00 3.5838715798e+00 1 6733 6748
1.833 2.3977344213e+00 3.7741614764e+00 1 6733 6748
1.833 2.5076395643e+00 3.9781087964e+00 1 6733 6748
1.833 2.6225824381e+00 4.1966300677e+00 1 6733 6748
1.833 2.7427939574e+00 4.4307839883e+00 1 6733 6748
1.833 2.8685156218e+00 4.6816467829e+00 1 6733 6748
1.833 3.0000000000e+00 4.9503854194e+00 1 6733 6748
1.833 3.2183731270e+00 5.4107535112e+00 1 6734 6748
1.833 3.4526418615e+00 5.9234542025e+00 1 6734 6748
1.833 3.7039632614e+00 6.4944123406e+00 1 6734 6748
1.833 3.9735786079e+00 7.1300849782e+00 1 6734 6748
1.833 4.2628195366e+00 7.8376983535e+00 1 6734 6748
1.833 4.5731146139e+00 8.6253476743e+00 1 6734 6748
1.833 4.9059963933e+00 9.5019496147e+00 1 6734 6748
1.833 5.2631089844e+00 1.0477411678e+01 1 6734 6748
1.833 5.6462161733e+00 1.1562712144e+01 1 6734 6748
1.833 6.0572101337e+00 1.2770257784e+01 1 6734 6748
1.833 6.4981207730e+00 1.4113477858e+01 1 6734 6748
1.833 6.9711257572e+00 1.5607570687e+01 1 6734 6748
1.833 7.4785612673e+00 1.7269312960e+01 1 6734 6748
1.833 8.0229335370e+00 1.9117434273e+01 1 6734 6748
1.833 8.6069312317e+00 2.1172486794e+01 1 6734 6748
1.833 9.2334387273e+00 2.3457602908e+01 1 6734 6748
1.833 9.9055503565e+00 2.5998480558e+01 1 6734 6748
1.833 1.0626585692e+01 2.8823186883e+01 1 6734 6748
1.833 1.1400105941e+01 3.1963621212e+01 1 6734 6748
1.833 1.2229931535e+01 3.5454733349e+01 1 6734 6748
1.833 1.3120160999e+01 3.9335362520e+01 1 6734 6748
1.833 1.4075191193e+01 4.3648946483e+01 1 6734 6748
1.833 1.5099739031e+01 4.8443522698e+01 1 6734 6748
1.833 1.6198864774e+01 5.3772435920e+01 1 6734 6748
1.833 1.7377997026e+01 5.9695059628e+01 1 6734 6748
1.833 1.8642959543e+01 6.6277437757e+01 1 6734 6748
1.833 2.0000000000e+01 7.3592577231e+01 1 6734 6748
1.833 2.2684969009e+01 8.8805360758e+01 1 6734 6748
1.833 2.5730390946e+01 1.0718550314e+02 1 6734 6748
1.833 2.9184656059e+01 1.2939093513e+02 1 6734 6748
1.833 3.3102650911e+01 1.5621579695e+02 1 6734 6748
1.833 3.7546630501e+01 1.8861894599e+02 1 6734 6748
1.833 4.2587207465e+01 2.2775881846e+02 1 6734 6748
1.833 4.8304474075e+01 2.7503364168e+02 1 6734 6748
1.833 5.4789274868e+01 3.3212939266e+02 1 6734 6748
1.833 6.2144650119e+01 4.0108461626e+02 1 6734 6748
1.833 7.0487473100e+01 4.8435656381e+02 1 6734 6748
1.833 7.9950307138e+01 5.8491198825e+02 1 6734 6748
1.833 9.0683511982e+01 7.0632615993e+02 1 6734 6748
2.356 1.0000000000e-03 1.0000010803e+00 0 10455 10456
2.356 1.8738174229e-03 1.0000037066e+00 0 10454 10456
2.356 3.5111917342e-03 1.0000128269e+00 0 10452 10456
2.356 6.5793322466e-03 1.0000442471e+00 0 10450 10456
2.356 1.2328467394e-02 1.0001518286e+00 0 10448 10456
2.356 2.3101297001e-02 1.0005162781e+00 0 10445 10456
2.356 4.3287612811e-02 1.0017322647e+00 0 10442 10456
2.356 8.1113083079e-02 1.0057023985e+00 0 10439 10456
2.356 1.5199110830e-01 1.0182776630e+00 0 10436 10456
2.356 2.8480358684e-01 1.0565330350e+00 0 10435 10456
2.356 5.3366992312e-01 1.1674085395e+00 0 10435 10456
2.356 1.0000000000e+00 1.4735203510e+00 0 10435 10456
2.356 1.0232562506e+00 1.4915695059e+00 1 10435 10449
2.356 1.0701593286e+00 1.5285192915e+00 1 10435 10449
2.356 1.1192123067e+00 1.5681265466e+00 1 10435 10449
2.356 1.1705137300e+00 1.6105932097e+00 1 10435 10449
2.356 1.2241666608e+00 1.6561092915e+00 1 10435 10449
2.356 1.2802788852e+00 1.7048900100e+00 1 10435 10449
2.356 1.3389631300e+00 1.7571592748e+00 1 10435 10449
2.356 1.4003372893e+00 1.8131712083e+00 1 10435 10449
2.356 1.4645246608e+00 1.8731797188e+00 1 10435 10449
2.356 1.5316541939e+00 1.9374593172e+00 1 10435 10449
2.356 1.6018607488e+00 2.0063191608e+00 1 10435 10449
2.356 1.6752853671e+00 2.0800733374e+00 1 10435 10449
2.356 1.7520755554e+00 2.1590650430e+00 1 10435 10449
2.356 1.8323855817e+00 2.2436513213e+00 1 10435 10449
2.356 1.9163767851e+00 2.3342423066e+00 1 10435 10449
2.356 2.0042178999e+00 2.4312400983e+00 1 10435 10449
2.356 2.0960853948e+00 2.5350976264e+00 1 10435 10449
2.356 2.1921638274e+00 2.6462948785e+00 1 10435 10449
2.356 2.2926462148e+00 2.7653512751e+00 1 10435 10449
2.356 2.3977344213e+00 2.8928061270e+00 1 10435 10449
2.356 2.5076395643e+00 3.0292456781e+00 1 10435 10449
2.356 2.6225824381e+00 3.1753164778e+00 1 10435 10449
2.356 2.7427939574e+00 3.3316718929e+00 1 10435 10449
2.356 2.8685156218e+00 3.4990410932e+00 1 10435 10449
2.356 3.0000000000e+00 3.6781905278e+00 1 10435 10449
2.356 3.2183731270e+00 3.9847814823e+00 1 10435 10449
2.356 3.4526418615e+00 4.3258410207e+00 1 10435 10449
2.356 3.7039632614e+00 4.7052389192e+00 1 10435 10449
2.356 3.9735786079e+00 5.1272713513e+00 1 10435 10449
2.356 4.2628195366e+00 5.5966932495e+00 1 10435 10449
2.356 4.5731146139e+00 6.1188295072e+00 1 10435 10449
2.356 4.9059963933e+00 6.6995816036e+00 1 10435 10449
2.356 5.2631089844e+00 7.3454764812e+00 1 10435 10449
2.356 5.6462161733e+00 8.0638256996e+00 1 10435 10449
2.356 6.0572101337e+00 8.8627328056e+00 1 10435 10449
2.356 6.4981207730e+00 9.7511820815e+00 1 10435 10449
2.356 6.9711257572e+00 1.0739218726e+01 1 10435 10449
2.356 7.4785612673e+00 1.1837929686e+01 1 10435 10449
2.356 8.0229335370e+00 1.3059660259e+01 1 10435 10449
2.356 8.6069312317e+00 1.4418202066e+01 1 10435 10449
2.356 9.2334387273e+00 1.5928763302e+01 1 10435 10449
2.356 9.9055503565e+00 1.7608328005e+01 1 10435 10449
2.356 1.0626585692e+01 1.9475720838e+01 1 10435 10449
2.356 1.1400105941e+01 2.1551845689e+01 1 10435 10449
2.356 1.2229931535e+01 2.3860060730e+01 1 10435 10449
2.356 1.3120160999e+01 2.6426072368e+01 1 10435 10449
2.356 1.4075191193e+01 2.9278666232e+01 1 10435 10449
2.356 1.5099739031e+01 3.2449710128e+01 1 10435 10449
2.356 1.6198864774e+01 3.5974658545e+01 1 10435 10449
